Chemical name,Brand name (from Health Canada),Strength,Dosage form,DIN/NPN,Manufacturer
acetaminophen,Acetaminophen regular strength,325 mg,tablet,02252805,"CellChem 
Pharmaceuticals Inc."
acetaminophen,Acetaminophen extra strength,500 mg,tablet,02252813,"CellChem 
Pharmaceuticals Inc."
acetaminophen,Tylenol arthritis pain 8H,650 mg,tab er,02238885,"McNeil Consumer 
Healthcare"
acetaminophen,Abenol,650 mg,supp rect,01919407,Pendopharm Inc.
acetaminophen,Acet 120,120 mg,supp rect,02230434,Pendopharm Inc.
acetaminophen,PMS-acetaminophen suppositories,120 mg,supp rect,02046660,Pharmascience Inc.
acetaminophen,Acet 160,160 mg,supp rect,02230435,Pendopharm Inc.
acetaminophen,Acetaminophen for children,160 mg,tab chew,02017431,Laboratoires Riva Inc.
acetaminophen,Children's Tylenol,160 mg,tab chew,02241361,"McNeil Consumer 
Healthcare"
acetaminophen,Junior strength,160 mg,tab chew,02230934,Tanta Pharmaceuticals Inc.
acetaminophen,Children's fast melts,160 mg,tab rapdis,02347792,"McNeil Consumer 
Healthcare"
acetaminophen,Junior strength,160 mg,tablet,02142805,Vita Health Products Inc.
acetaminophen,PDP-acetaminophen,160 mg/5 mL,liquid,00792691,Pendopharm Inc.
acetaminophen,Children's acetaminophen,160 mg/5 mL,liquid,01901389,Jamp Pharma Corp.
acetaminophen,Children's Tylenol,160 mg/5 mL,oral susp,02046040,"McNeil Consumer 
Healthcare"
acetaminophen,Acetaminophen,160 mg/5 mL,liquid,01958836,Laboratoires Trianon Inc.
acetaminophen,Pediatrix,160 mg/5 mL,liquid,02027798,Teva Canada Ltd.
acetaminophen,Tempra double strength children's syrup,160 mg/5 mL,syrup,00875996,Paladin Labs Inc.
acetaminophen,Novo Gesic,325 mg,caplet,00389218,Teva Canada Ltd.
acetaminophen,Acetaminophen,325 mg,supp rect,02230436,Pendopharm Inc.
acetaminophen,Jamp acetaminophen,325 mg,tablet,01938088,Jamp Pharma Corp.
,Acetaminophen,650 mg,supp rect,02230437,Pendopharm Inc.
,PMS-acetaminophen suppositories,650 mg,supp rect,02046695,Pharmascience Inc.
acetaminophen,Jamp acetaminophen,500 mg,tablet,01939122,Jamp Pharma Corp.
acetaminophen,Acetaminophen,650 mg,supp rect,02230437,Pendopharm Inc.
acetaminophen,PMS-acetaminophen suppositories,650 mg,supp rect,02046695,Pharmascience Inc.
acetaminophen,Acetaminophen for children,80 mg,tab chew,02017458,Laboratoires Riva Inc.
acetaminophen,Acetaminophen for children,80 mg,tab chew,02129957,Vita Health Products Inc.
acetaminophen,Acetaminophen for children,80 mg,tab chew,02015676,Tanta Pharmaceuticals Inc.
acetaminophen,Tempra children's syrup,80 mg/5 mL,syrup,00884553,Paladin Labs Inc.
acetaminophen,Tempra infant drops,80 mg/mL,drops,00875988,Paladin Labs Inc.
acetaminophen,Pediatrix drops,80 mg/mL,drops,02027801,Teva Canada Ltd.
acetaminophen,Acetaminophen,80 mg/mL,drops,01905864,Laboratoires Trianon Inc.
acetaminophen,Infant's Tylenol,80 mg/mL,drops susp,02046059,"McNeil Consumer 
Healthcare"
acetaminophen,Acetaminophen Tablets Usp 500 Mg,500 mg,tablet,02362244,Apotex Inc.
acetaminophen,Apo-Acetaminophen Caplets Extra Strength,500 mg,tablet,02229977,Apotex Inc.
acetaminophen,Apo-Acetaminophen Extra Strength,500 mg,tablet,00545007,Apotex Inc.
